Name,First Name,Last Name,Number,City,Error,Timestamp
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:39:56.298Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:39:56.298Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:39:56.298Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:39:56.298Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:39:56.298Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:39:56.298Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:39:56.298Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:39:56.298Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:39:56.298Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:39:56.298Z
