Name,First Name,Last Name,Number,City,Error,Timestamp
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:46:36.546Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:46:36.546Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:46:36.546Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:46:36.546Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:46:36.546Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:46:36.546Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:46:36.546Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:46:36.546Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:46:36.546Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:46:36.546Z
