Name,First Name,Last Name,Number,City,Error,Timestamp
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:53:16.765Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:53:16.765Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:53:16.765Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:53:16.765Z
,,,,Rajkot,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:53:16.765Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:53:16.765Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:53:16.765Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:53:16.765Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:53:16.765Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:53:16.765Z
